代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),主力净占比%,超大单净流入(万),超大单净占比%,大单净流入(万),大单净占比%,中单净流入(万),中单净占比%,小单净流入(万),小单净占比%,资金流时间,抓取时间
000333,美的集团,78.55,2.68,0.66,流出,-3676.44,-1.05,2609.66,0.74,-6286.1,-1.79,21467.15,6.11,-17790.71,-5.06,2026-06-26T15:03:24+08:00,2026-06-26T15:04:15+08:00
000338,潍柴动力,27.95,-3.52,2.45,流出,-66726.05,-19.52,-20282.96,-5.93,-46443.09,-13.58,15402.8,4.5,51323.24,15.01,2026-06-26T15:03:39+08:00,2026-06-26T15:04:15+08:00
000400,许继电气,21.33,-2.2,2.27,流出,-1826.99,-3.64,36.26,0.07,-1863.24,-3.71,-430.5,-0.86,2257.48,4.5,2026-06-26T15:03:51+08:00,2026-06-26T15:04:15+08:00
000401,金隅冀东,3.4,-2.86,0.37,流出,-608.69,-18.29,0.0,0.0,-608.69,-18.29,-177.47,-5.33,786.16,23.62,2026-06-26T15:03:27+08:00,2026-06-26T15:04:15+08:00
000402,金 融 街,2.56,-2.29,1.65,流出,-62.82,-0.49,-838.72,-6.53,775.9,6.04,515.99,4.02,-453.17,-3.53,2026-06-26T15:03:36+08:00,2026-06-26T15:04:15+08:00
000403,派林生物,8.86,-5.14,1.48,流出,-1515.01,-12.08,-873.69,-6.96,-641.32,-5.11,464.15,3.7,1050.87,8.38,2026-06-26T15:03:42+08:00,2026-06-26T15:04:15+08:00
000404,长虹华意,7.41,0.82,2.62,流出,-532.25,-3.99,-309.89,-2.32,-222.36,-1.67,1248.43,9.37,-716.19,-5.37,2026-06-26T15:03:24+08:00,2026-06-26T15:04:15+08:00
000407,胜利股份,3.72,-1.33,1.54,流入,24.96,0.5,0.0,0.0,24.96,0.5,-287.41,-5.71,262.45,5.21,2026-06-26T15:03:39+08:00,2026-06-26T15:04:15+08:00
000408,藏格矿业,68.05,-2.92,1.1,流出,-12487.78,-10.54,-1559.68,-1.32,-10928.1,-9.22,-450.68,-0.38,12938.47,10.92,2026-06-26T15:03:42+08:00,2026-06-26T15:04:15+08:00
000409,云鼎科技,8.4,-3.78,0.9,流出,-110.66,-2.47,223.14,4.97,-333.8,-7.44,-26.88,-0.6,137.54,3.06,2026-06-26T15:03:30+08:00,2026-06-26T15:04:15+08:00
