代码,名称,0427,0428,0429,0430,0506,0507,0508,0511,0512,0513,0514,0515,0518,0519,0520,0521,0522,0525,0526,0527,0528
000501,武商集团,73.16,74.25,91.55,71.79,87.09,76.03,72.99,110.56,119.2,102.0,111.55,120.47,72.96,82.27,80.91,96.12,74.89,67.64,74.36,142.62,98.13
000503,国新健康,109.66,109.81,269.42,218.86,153.59,118.38,205.58,140.85,126.48,95.79,280.79,154.89,130.18,117.92,133.59,150.71,112.22,133.62,158.8,95.57,224.98
000505,京粮控股,171.02,120.36,186.08,250.36,197.03,160.36,205.55,377.25,282.81,565.06,377.33,333.04,213.76,170.9,153.09,256.0,128.0,113.17,161.51,157.83,104.22
000506,招金黄金,207.95,228.54,227.1,288.26,473.1,361.97,459.67,370.96,361.49,335.53,318.28,389.6,304.78,240.77,320.93,355.13,330.75,305.84,530.13,716.55,378.23
000507,珠海港,88.74,91.68,130.97,127.74,148.31,124.63,156.65,146.45,125.67,198.27,187.8,149.64,93.61,378.54,177.98,165.78,87.43,151.84,187.35,96.42,88.77
000509,华塑控股,189.03,138.14,150.4,170.75,173.91,560.05,1197.57,622.51,343.83,404.86,317.95,274.96,461.97,332.4,253.15,610.66,472.6,1189.91,741.35,2270.4,573.47
000510,新金路,748.22,729.3,749.94,502.75,1014.79,1345.43,859.92,936.51,701.25,668.62,1250.43,995.11,611.55,653.74,588.76,934.01,531.96,1890.35,1356.48,1916.75,1175.48
000513,丽珠集团,99.41,66.47,88.25,93.17,116.06,131.75,162.95,134.63,103.96,110.44,96.21,104.93,75.35,62.26,54.33,71.17,70.81,55.9,51.44,76.18,76.28
000514,渝 开 发,144.3,102.29,133.92,156.39,430.0,236.63,140.84,156.08,126.78,130.65,119.21,119.53,102.24,115.86,105.5,171.98,103.75,87.66,93.54,120.96,99.83
000516,国际医学,130.65,103.03,100.45,98.42,107.69,129.62,131.96,135.97,133.67,103.72,127.96,117.0,73.33,147.89,86.4,90.93,76.3,87.94,81.47,74.35,84.82
000517,荣安地产,76.41,92.36,146.0,152.87,141.58,101.77,127.02,118.82,115.49,104.89,79.17,70.31,118.37,81.52,71.82,94.55,79.84,99.95,77.6,74.95,111.95
000519,中兵红箭,162.72,226.57,139.44,176.8,207.63,184.49,231.83,283.8,234.83,279.34,242.56,204.93,145.22,153.62,132.69,200.21,366.52,591.56,407.46,310.47,863.66
000520,凤凰航运,164.68,146.16,229.22,129.0,123.99,255.16,247.74,222.51,192.43,170.38,164.75,165.44,169.6,109.39,142.29,218.87,134.97,147.13,161.87,172.7,122.34
000521,长虹美菱,70.07,61.93,77.77,76.02,100.82,112.86,152.28,95.76,77.16,73.07,77.72,72.65,100.85,70.03,57.28,84.6,72.6,52.55,82.7,60.84,149.11
000523,红棉股份,238.82,452.61,298.02,195.89,197.73,190.15,152.24,158.3,162.94,196.42,251.29,331.86,245.32,177.75,180.34,261.9,139.65,137.87,143.33,177.31,141.58
000524,岭南控股,120.81,160.55,156.69,135.9,126.31,101.76,118.88,112.08,215.59,112.77,113.35,113.46,83.95,80.21,107.71,127.79,102.0,109.64,111.71,106.5,117.15
000525,红太阳,200.72,213.95,129.44,182.56,318.6,340.83,284.82,264.74,203.68,179.25,214.11,224.7,179.25,119.28,137.67,162.6,136.82,136.12,172.36,212.69,324.74
000526,学大教育,174.63,625.79,256.13,430.44,293.89,198.18,248.92,226.79,178.53,249.96,182.61,136.2,173.06,120.16,148.73,182.04,120.48,121.33,213.72,149.68,201.25
000528,柳    工,184.12,231.36,161.53,258.44,288.49,192.72,186.42,663.74,520.18,275.37,264.36,188.31,183.77,145.09,165.13,165.64,104.08,116.14,110.97,127.16,121.98
000529,广弘控股,100.62,97.55,100.3,95.18,86.47,66.66,66.21,82.8,96.53,81.94,82.83,105.45,85.02,51.56,43.32,64.79,66.49,54.73,63.35,77.25,75.54
000530,冰山冷热,386.6,233.46,260.13,173.6,274.1,255.76,261.58,266.81,329.99,303.07,453.6,377.69,385.27,239.86,289.47,445.78,249.71,208.83,296.55,626.42,615.38
000531,穗恒运Ａ,304.79,342.32,300.24,334.28,261.32,311.7,263.27,244.91,350.51,447.7,408.04,281.73,261.61,371.31,376.8,273.47,172.27,191.32,344.02,383.6,779.6
000532,华金资本,598.86,198.33,148.62,165.28,250.44,142.17,228.2,175.72,269.4,173.08,170.26,188.57,252.78,220.29,204.06,577.09,791.66,648.52,439.05,398.38,664.61
000533,顺钠股份,829.8,802.28,623.54,821.23,986.2,990.86,899.95,831.48,981.22,1273.27,2111.49,1143.54,735.5,927.52,867.76,831.24,425.85,432.76,545.41,489.04,510.4
000534,万泽股份,483.21,412.43,442.73,294.86,541.21,711.75,613.14,474.06,526.2,941.14,673.29,399.46,342.69,384.47,340.0,342.31,330.97,321.3,522.15,344.34,756.98
000536,华映科技,156.1,135.98,90.86,89.24,146.8,143.72,154.42,160.65,111.73,137.41,195.06,162.84,120.89,101.6,119.62,683.77,948.05,629.9,897.89,641.45,481.05
000537,绿发电力,434.19,443.29,294.25,286.81,373.21,353.75,318.82,276.65,508.16,539.78,480.66,328.92,377.06,319.44,284.32,258.62,162.38,171.29,215.97,203.82,388.33
000538,云南白药,42.17,56.55,47.28,82.76,69.58,44.83,39.97,58.49,55.68,57.05,40.36,44.3,28.74,32.27,26.9,38.53,35.13,33.9,49.88,70.76,57.38
000539,粤电力Ａ,863.93,1018.88,760.6,622.51,705.58,780.33,675.76,759.9,730.56,886.65,888.75,663.97,535.76,502.45,482.42,356.49,257.33,339.17,361.84,684.82,585.21
000541,佛山照明,76.55,93.77,48.72,32.53,54.09,58.97,64.78,66.25,85.37,79.19,76.51,91.17,92.56,68.83,74.89,94.2,159.44,104.63,104.37,88.31,68.97
000543,皖能电力,158.58,124.65,136.53,133.36,162.09,169.64,173.15,201.04,215.32,357.77,298.54,272.83,354.19,482.08,406.71,336.62,310.24,298.77,345.0,316.53,531.75
000544,中原环保,49.63,62.78,110.73,74.66,91.19,82.27,58.12,54.07,67.81,65.04,58.03,58.47,34.83,35.22,30.27,52.19,41.36,32.22,37.18,52.94,34.39
000545,金浦钛业,515.44,465.94,609.32,410.32,375.34,553.11,998.02,604.73,461.27,411.35,367.62,379.32,531.75,424.3,429.45,517.28,371.04,309.73,317.2,410.75,341.25
000546,金圆股份,2263.13,1170.99,1467.01,1836.89,1462.6,1201.46,2264.24,1547.87,1343.3,1766.35,1255.46,908.76,593.59,963.97,717.06,835.4,521.27,516.33,406.11,521.52,359.03
000547,航天发展,784.94,965.46,620.99,589.29,661.16,675.34,1540.31,2388.24,1399.03,1102.32,1034.39,742.42,596.01,594.52,529.86,657.49,455.56,485.34,711.93,635.09,560.51
000548,湖南投资,192.35,163.64,163.78,127.3,198.47,189.62,134.18,168.61,156.89,147.63,155.64,209.67,175.16,139.51,129.24,534.58,475.24,325.93,263.94,277.87,176.0
000550,江铃汽车,203.45,143.0,79.87,94.33,117.22,103.64,143.35,113.98,90.46,97.72,67.68,82.43,86.41,46.11,62.08,75.46,62.86,95.57,93.41,61.89,90.96
000551,创元科技,285.07,232.56,442.57,1218.04,918.56,600.35,615.99,536.39,448.83,457.32,810.81,648.09,650.35,487.97,450.2,884.55,608.96,517.25,415.56,334.41,274.66
000552,甘肃能化,274.16,388.8,370.87,319.82,268.71,280.32,212.69,232.9,270.27,201.22,205.08,233.9,234.12,191.1,205.93,171.06,133.54,174.84,151.23,168.59,181.9
000553,安道麦A,26.57,38.98,42.54,55.26,248.64,228.52,159.29,149.29,108.83,88.57,80.97,69.03,75.09,109.0,60.15,63.55,56.63,43.06,44.36,42.93,38.89
000554,泰山石油,584.87,593.53,655.11,834.68,679.59,805.59,668.59,544.28,464.47,556.63,465.86,444.21,670.76,472.32,435.04,735.98,374.9,499.43,363.13,447.72,361.25
000555,神州信息,231.37,506.63,234.46,179.0,358.07,276.64,231.56,344.97,302.13,214.8,372.98,230.59,165.02,195.25,200.24,270.88,710.45,661.29,338.17,354.3,256.82
000557,西部创业,43.01,33.9,54.93,62.93,65.09,45.65,47.21,53.4,57.15,56.4,47.8,65.5,44.53,44.4,59.88,65.47,74.51,66.33,56.54,55.0,44.9
000558,天府文旅,276.44,262.43,238.41,295.94,340.4,242.86,236.35,257.61,211.48,231.6,225.13,185.39,177.91,168.85,188.92,217.75,168.91,131.82,206.09,158.9,251.79
000559,万向钱潮,298.37,335.37,182.87,184.0,242.93,297.22,524.76,452.01,270.99,212.29,282.99,532.93,612.67,431.16,317.0,570.02,356.13,297.14,343.76,324.71,226.04
000560,我爱我家,175.13,200.99,309.18,370.96,777.96,416.83,615.19,1129.24,593.42,569.42,331.26,387.31,448.52,531.24,479.06,679.03,286.76,259.53,277.51,333.0,222.88
000561,烽火电子,108.53,125.43,124.16,171.29,129.06,114.49,188.9,201.92,168.8,168.57,182.66,135.0,108.0,107.22,129.26,161.13,113.16,118.21,149.09,132.28,127.2
000563,陕国投Ａ,142.46,83.85,79.91,81.57,101.34,72.42,66.85,91.86,99.16,118.85,117.09,107.48,61.65,67.03,45.19,82.98,67.69,54.17,61.36,70.09,69.52
000564,供销大集,148.62,120.24,185.71,153.86,246.25,180.88,169.98,148.03,158.82,122.21,184.6,141.46,121.68,98.49,118.37,204.78,406.07,556.83,489.13,374.05,245.92
000565,渝三峡Ａ,630.85,1063.11,585.34,395.83,372.5,247.77,416.78,484.69,362.83,834.48,543.9,366.47,306.54,209.95,193.07,336.51,236.9,236.59,256.17,230.68,250.46
000566,海南海药,237.42,340.17,210.27,160.51,195.27,205.53,297.58,239.92,286.63,246.91,301.34,206.04,138.51,155.31,230.86,199.89,161.76,183.99,176.9,190.21,191.03
000567,海德股份,49.1,87.77,260.33,799.15,653.12,361.24,265.16,257.64,259.32,210.42,158.65,131.82,130.98,130.09,99.56,135.42,131.24,98.58,105.69,99.99,109.22
000570,苏常柴Ａ,599.91,632.38,481.19,361.82,408.94,421.14,397.52,503.38,454.05,345.61,322.66,292.17,314.1,260.59,268.08,325.85,275.54,334.77,329.36,299.95,261.38
000571,新大洲A,173.93,181.33,189.64,253.13,237.2,283.25,208.13,487.85,667.0,643.11,533.58,385.17,516.12,701.64,370.54,383.64,286.42,382.46,241.57,253.03,192.95
