代码,名称,0413,0414,0415,0416,0417,0420,0421,0422,0423,0424,0427,0428,0429,0430,0506,0507,0508,0511,0512,0513,0514,0515,0518,0519,0520,0521,0525,0526,0527,0528,0529,0601,0602,0603,0604,0605,0608,0609,0610,0611,0612,0615,0616,0617
000049,德赛电池,-589.45,-2577.81,-1943.48,1074.68,-1859.29,-2362.5,6920.82,-11654.64,-7431.1,4046.84,820.35,-1429.71,6379.09,-2204.11,3016.65,-3241.32,-4808.25,-2594.5,-4561.57,-1395.08,-1474.38,-1960.22,-1633.54,-1651.94,-660.91,-1466.77,-2615.38,-440.04,-116.59,-488.66,-2413.03,-174.01,-570.45,-378.31,-1586.98,-1503.21,-570.5,-1208.65,-832.62,-623.11,-240.31,-471.96,849.86,-859.84
000050,深天马Ａ,-1283.89,-137.42,860.15,374.7,-229.44,212.05,465.09,-515.25,-1089.8,-1933.71,245.89,-1947.84,-1033.17,-1537.49,-670.39,-381.97,1197.72,-364.8,-1516.56,1089.92,534.13,-744.12,450.48,-1243.76,-489.78,10117.73,1166.51,1993.58,164.06,-2972.85,-3586.53,2155.27,1927.39,1175.64,3080.31,9042.22,-6977.96,2373.71,-4353.32,-2716.82,-614.35,-1289.13,-102.84,13901.16
000055,方大集团,-405.59,-306.28,-523.4,-269.76,-267.46,-282.01,-387.16,-303.07,-74.25,-357.51,-215.87,-312.49,-158.78,112.99,-376.57,280.91,-17.25,-451.15,17.67,231.82,-376.4,1.58,1144.36,-547.04,-216.81,-287.93,-73.11,-78.74,-280.85,-218.45,-89.19,3617.85,4121.14,-2877.65,-385.58,-1053.0,-429.78,-662.14,228.91,-452.82,-61.1,488.85,-425.19,12.62
000056,*ST皇庭,-78.83,2820.54,545.53,-973.73,-1507.71,2093.82,8795.34,-3147.68,542.34,,7764.28,-3844.84,-4056.87,-4264.68,733.25,-3423.83,323.64,-102.77,-460.3,-141.58,-3237.98,-205.37,-331.91,884.29,-1442.21,-397.35,647.83,105.56,900.34,356.67,-654.61,348.44,602.44,-222.09,1389.22,928.07,-1080.76,-2226.37,-554.98,-153.27,-188.81,350.64,-1645.92,-227.95
000058,深 赛 格,-24.77,-654.41,-290.99,-88.4,-266.11,50.07,-647.68,1815.07,-466.74,141.0,-131.77,-251.45,436.57,646.11,-306.57,-387.91,-586.47,2586.12,-727.36,-326.54,-855.79,-801.19,-275.96,129.68,-659.93,506.94,-563.96,-910.5,-916.0,97.36,61.96,-281.35,-644.61,1864.77,-1142.73,-765.55,-351.75,-291.29,-396.86,72.53,-255.53,-141.09,-522.81,307.42
000059,华锦股份,175.69,-330.36,-486.95,169.57,907.67,-166.55,212.34,-710.98,-282.43,2842.46,1150.84,-1297.23,-3785.7,92.43,2012.82,-499.06,2364.35,1514.28,3333.44,1493.38,29.8,519.11,2614.03,-2130.16,-0.66,-505.38,-924.33,-880.32,-168.96,-630.56,-701.46,459.48,2111.45,2955.63,-1731.28,-511.17,-827.81,-1201.06,-761.57,-58.96,-143.25,-716.96,1788.01,-3084.67
000060,中金岭南,-4.24,-2049.57,-2500.47,2725.72,8526.63,-2372.81,-3916.85,-437.33,-8261.59,-587.43,3518.88,-3924.78,7869.44,-13478.25,45842.15,32007.69,-51028.94,57851.95,-47835.29,-24894.53,-3511.97,-31155.09,-1402.89,1063.17,-572.59,3593.24,1458.46,19250.37,-12077.71,7021.33,3719.38,-10592.83,16605.4,21624.48,-22761.81,-17200.2,-20768.82,-1004.98,-4892.45,13180.81,-8426.71,-23210.6,-10200.52,-3805.54
000061,农 产 品,-1278.75,253.87,-824.78,-298.95,112.75,-290.73,807.38,-515.32,-377.51,-226.49,-716.59,-576.84,-422.88,-1023.47,1719.0,-2540.28,-416.09,431.87,-805.97,609.77,-926.97,-951.58,-2238.39,-851.64,256.66,-287.51,-1.16,-18.55,-995.82,-796.76,999.01,-935.88,-2451.2,-289.96,-417.73,-354.83,-1251.34,-610.26,-1147.99,-882.82,1040.13,-815.05,-968.64,-1247.34
000062,深圳华强,-182.3,-13052.96,-10258.97,4241.53,14208.4,15482.45,-24198.31,55102.37,-23946.22,80350.31,-26236.74,-53726.87,-26425.99,-25182.14,-35259.76,-9326.59,-49346.0,87191.91,-65136.22,-18365.71,-48847.67,-27739.99,-5663.95,-2836.15,9942.37,-6607.23,7829.82,-52726.08,-29275.26,-7088.76,-18434.75,13036.86,90452.7,-39962.82,-20233.19,24451.67,-12802.76,2989.34,-11056.97,-12081.73,-21462.95,10217.14,-8319.89,206.1
000063,中兴通讯,-34122.52,-30512.73,-42681.89,591.96,-10503.37,22895.09,-50729.27,136132.53,-64969.9,-27887.94,93712.61,-57433.52,17844.54,13040.97,99674.68,-2435.02,-21792.03,3917.69,-95603.89,13553.5,-34216.69,-53742.05,48693.33,-11451.41,-17514.81,-55224.09,-14084.9,-78918.51,-56890.61,223188.06,-122606.9,-48266.26,62662.04,-16492.21,121848.54,190570.14,-142875.22,137894.0,-68092.39,-69644.95,-196531.1,22985.05,51554.26,-38058.99
